table,strategy,confidence,score,rows,watermark_column,primary_keys,timestamp_columns,implementation_notes
contratos,INCREMENTAL_POSSIBLE,MEDIUM,65,15299,fecha,"ic_ano, ic_cod_con, ic_cod_ofi","fecha, fecha_fir1, fecha_fir2, fecha_fir3, fecha_fir_sal, fecha_fir_ract, fecha_prevista_entrada, fecha_prevista_salida, fecha_entrada, fecha_salida, f_last_service",Incremental loading feasible with 'fecha'. Consider data volume and update patterns to decide vs full replace
contratos_estados,FULL_REPLACE,HIGH,0,6,,ic_cod_est,,Full table replacement recommended. Simple and reliable approach
contratos_insertar,FULL_REPLACE,HIGH,5,918,,"ic_ano, ic_cod_con",,Full table replacement recommended. Simple and reliable approach
contratos_log,INCREMENTAL_PREFERRED,HIGH,120,3724,fecha,id,fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
contratos_ra,INCREMENTAL_POSSIBLE,MEDIUM,65,0,f_fecha_matriculacion,"ic_cod_ofi, ic_ano, ic_cod_con","f_fecha_matriculacion, f_fecha_recepcion",Incremental loading feasible with 'f_fecha_matriculacion'. Consider data volume and update patterns to decide vs full replace
contratos_ra_lineas,FULL_REPLACE,HIGH,5,139581,,"ic_cod_ofi, ic_ano, ic_cod_con, id",,Full table replacement recommended. Simple and reliable approach
danos_jobs,FULL_REPLACE,HIGH,15,9,,ic_cod_job,,Full table replacement recommended. Simple and reliable approach
danos_subzonas,FULL_REPLACE,HIGH,5,406,,"ic_cod_zon, ic_cod_sub",,Full table replacement recommended. Simple and reliable approach
danos_zonas,FULL_REPLACE,HIGH,15,80,,ic_cod_zon,,Full table replacement recommended. Simple and reliable approach
danos_zonas_lineas,FULL_REPLACE,HIGH,5,1220,,"ic_cod_zon, ic_cod_sub, ic_linea",,Full table replacement recommended. Simple and reliable approach
docs,FULL_REPLACE,HIGH,5,5359,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip",,Full table replacement recommended. Simple and reliable approach
docs_albcli,INCREMENTAL_CHALLENGING,MEDIUM,20,168,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
docs_albpro,INCREMENTAL_CHALLENGING,MEDIUM,20,2,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
docs_comu,FULL_REPLACE,HIGH,5,4,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip, ic_linea",,Full table replacement recommended. Simple and reliable approach
docs_pro,FULL_REPLACE,HIGH,5,61,,"ic_cod_doc, ic_cod_ofi, ic_cod_tip",,Full table replacement recommended. Simple and reliable approach
docs_tipos,FULL_REPLACE,HIGH,0,6,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
dto_cli_fam,FULL_REPLACE,HIGH,5,581,,"ic_cod_ofi, ic_cod_cli, ic_cod_fam",,Full table replacement recommended. Simple and reliable approach
dto_cli_pie,FULL_REPLACE,HIGH,5,228,,"ic_cod_ofi, ic_cod_cli, cc_cod_pie",,Full table replacement recommended. Simple and reliable approach
dto_cli_sub_fam,FULL_REPLACE,HIGH,5,2,,"ic_cod_ofi, ic_cod_cli, ic_cod_fam, ic_cod_sub",,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos,FULL_REPLACE,HIGH,0,18,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos_fam,FULL_REPLACE,HIGH,-10,0,,"ic_cod_tip, ic_cod_fam",,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos_margen,FULL_REPLACE,HIGH,-10,0,,"ic_cod_tip, ic_cod_tra",,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos_pie,FULL_REPLACE,HIGH,-10,0,,"ic_cod_tip, cc_cod_pie",,Full table replacement recommended. Simple and reliable approach
dto_cli_tipos_sub_fam,FULL_REPLACE,HIGH,-10,491,,"ic_cod_tip, ic_cod_fam, ic_cod_sub",,Full table replacement recommended. Simple and reliable approach
dto_cli_tramos,FULL_REPLACE,HIGH,5,0,,"ic_cod_ofi, ic_cod_cli, ic_cod_tra",,Full table replacement recommended. Simple and reliable approach
ent_cli,FULL_REPLACE,HIGH,5,5340,,"ic_cod_cli, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
ent_cli_ban,INCREMENTAL_CHALLENGING,MEDIUM,30,0,,"ic_cod_cli, ic_cod_ofi, ic_cod_ban, ic_cod_suc, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
ent_cli_blo,FULL_REPLACE,HIGH,5,2390,,"ic_cod_cli, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_com,FULL_REPLACE,HIGH,5,1160,,"ic_cod_cli, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_con,FULL_REPLACE,HIGH,5,763,,"ic_cod_cli, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_des,FULL_REPLACE,HIGH,-20,102,,,,Full table replacement recommended. Simple and reliable approach
ent_cli_doc,FULL_REPLACE,HIGH,5,2777,,"ic_cod_cli, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_doc_tip,FULL_REPLACE,HIGH,15,7,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
ent_cli_fam,FULL_REPLACE,HIGH,15,8,,ic_cod_fam,,Full table replacement recommended. Simple and reliable approach
ent_cli_fam_des,FULL_REPLACE,HIGH,5,8,,"ic_cod_cla, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_cli_origen,INCREMENTAL_POSSIBLE,MEDIUM,40,11,,ic_cod_ori,,Incremental loading possible but may require custom logic or composite keys
ent_cli_rie,FULL_REPLACE,HIGH,5,5215,,"ic_cod_cli, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
ent_pro,FULL_REPLACE,HIGH,5,1540,,"ic_cod_pro, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
ent_pro_blo,FULL_REPLACE,HIGH,5,14,,"ic_cod_pro, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
ent_pro_fam,FULL_REPLACE,HIGH,15,1,,ic_cod_fam,,Full table replacement recommended. Simple and reliable approach
errores_ia,INCREMENTAL_PREFERRED,HIGH,100,622,timestamp,ic_cod_err,"timestamp, fecha",Implement incremental loading using 'timestamp' as watermark column. Query: SELECT * FROM table WHERE timestamp > last_run_timestamp
fac_cli,INCREMENTAL_CHALLENGING,MEDIUM,20,54189,,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_cli_aut,INCREMENTAL_CHALLENGING,MEDIUM,20,36553,,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let, ic_fac, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_cli_est,INCREMENTAL_CHALLENGING,MEDIUM,30,3,,ic_cod_est,,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_cli_firmas,INCREMENTAL_PREFERRED,HIGH,80,26366,f_fecha,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let, ic_linea","f_fecha, f_fecha_firma, f_fecha_envio",Implement incremental loading using 'f_fecha' as watermark column. Query: SELECT * FROM table WHERE f_fecha > last_run_timestamp
fac_cli_lin,INCREMENTAL_CHALLENGING,MEDIUM,20,60103,,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_pro,INCREMENTAL_CHALLENGING,MEDIUM,20,26594,,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_pro_est,INCREMENTAL_CHALLENGING,MEDIUM,30,3,,ic_cod_est,,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fac_pro_lin,INCREMENTAL_CHALLENGING,MEDIUM,20,68097,,"ic_cod_ofi, ic_ano, ic_cod_fac, ic_cod_let, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
fields_gauges,INCREMENTAL_POSSIBLE,MEDIUM,40,10,,ic_cod_gau,,Incremental loading possible but may require custom logic or composite keys
fields_typ_operators,INCREMENTAL_POSSIBLE,MEDIUM,40,10,,ic_typ_ope,,Incremental loading possible but may require custom logic or composite keys
fields_types,INCREMENTAL_POSSIBLE,MEDIUM,40,8,,ic_cod_typ,,Incremental loading possible but may require custom logic or composite keys
firmas,INCREMENTAL_CHALLENGING,MEDIUM,30,48,,"ic_ano, ic_cod_avi, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
for_pago,FULL_REPLACE,HIGH,15,36,,ic_cod_pag,,Full table replacement recommended. Simple and reliable approach
for_pago2,FULL_REPLACE,HIGH,15,24,,ic_cod_pag,,Full table replacement recommended. Simple and reliable approach
garantias,FULL_REPLACE,HIGH,5,3113,,"ic_ano, ic_cod_gar, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
gh_acciones,INCREMENTAL_POSSIBLE,MEDIUM,40,0,,ic_cod_acc,,Incremental loading possible but may require custom logic or composite keys
gh_estados,FULL_REPLACE,HIGH,0,3,,ic_cod_est,,Full table replacement recommended. Simple and reliable approach
gh_estados_devolucion,FULL_REPLACE,HIGH,-10,3,,"ic_cod_est, c_nombre",,Full table replacement recommended. Simple and reliable approach
gh_historico_acciones,INCREMENTAL_PREFERRED,HIGH,120,2002,f_fecha,id,f_fecha,Implement incremental loading using 'f_fecha' as watermark column. Query: SELECT * FROM table WHERE f_fecha > last_run_timestamp
gh_lista_espera,INCREMENTAL_POSSIBLE,MEDIUM,65,1,f_fecha,"ic_cod_ofi, ic_cod_pie, ic_cod_usu",f_fecha,Incremental loading feasible with 'f_fecha'. Consider data volume and update patterns to decide vs full replace
gh_piezas,FULL_REPLACE,HIGH,5,128,,"ic_cod_ofi, ic_cod_pie",,Full table replacement recommended. Simple and reliable approach
gh_piezas_lineas,INCREMENTAL_POSSIBLE,MEDIUM,65,128,f_fecha_inicio,"ic_cod_ofi, ic_cod_pie, ic_linea","f_fecha_inicio, f_fecha_final",Incremental loading feasible with 'f_fecha_inicio'. Consider data volume and update patterns to decide vs full replace
jobs_carpetas,FULL_REPLACE,HIGH,15,100,,ic_cod_job,,Full table replacement recommended. Simple and reliable approach
jobs_maestras,FULL_REPLACE,HIGH,15,2,,ic_cod_job,,Full table replacement recommended. Simple and reliable approach
mae_carpetas,INCREMENTAL_POSSIBLE,MEDIUM,40,4,,ic_cod_car,,Incremental loading possible but may require custom logic or composite keys
mae_ficheros,INCREMENTAL_POSSIBLE,MEDIUM,40,27,,ic_cod_fic,,Incremental loading possible but may require custom logic or composite keys
mae_tables,INCREMENTAL_POSSIBLE,MEDIUM,40,18,,ic_cod_tab,,Incremental loading possible but may require custom logic or composite keys
mae_tables_family,INCREMENTAL_POSSIBLE,MEDIUM,40,9,,ic_cod_fam,,Incremental loading possible but may require custom logic or composite keys
mae_tables_fields,INCREMENTAL_CHALLENGING,MEDIUM,30,203,,"ic_cod_tab, cc_cod_fie",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
mae_tables_fields_groupby,INCREMENTAL_CHALLENGING,MEDIUM,30,0,,"ic_cod_tab, cc_cod_fie",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
mae_tables_fields_usu_field,INCREMENTAL_CHALLENGING,MEDIUM,30,136,,"ic_cod_tab, cc_cod_fie, ic_cod_usu",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
mae_tables_fields_usu_order,INCREMENTAL_CHALLENGING,MEDIUM,30,14,,"ic_cod_tab, cc_cod_fie, ic_cod_usu",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
mae_views,INCREMENTAL_POSSIBLE,MEDIUM,40,0,,ic_cod_vie,,Incremental loading possible but may require custom logic or composite keys
mae_views_fields,INCREMENTAL_CHALLENGING,MEDIUM,30,0,,"ic_cod_vie, ic_cod_tab, cc_cod_fie, ic_cod_usu",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
mae_views_where,INCREMENTAL_CHALLENGING,MEDIUM,30,0,,"ic_cod_vie, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
marcas,FULL_REPLACE,HIGH,15,74,,ic_cod_mar,,Full table replacement recommended. Simple and reliable approach
margen_cliente,ERROR,LOW,0,0,,,,
margen_cliente_alb_avi,ERROR,LOW,0,0,,,,
metacode_actt,INCREMENTAL_POSSIBLE,MEDIUM,40,705,,ic_code,,Incremental loading possible but may require custom logic or composite keys
metacode_cont,INCREMENTAL_POSSIBLE,MEDIUM,40,683,,ic_code,,Incremental loading possible but may require custom logic or composite keys
metacode_loct,INCREMENTAL_POSSIBLE,MEDIUM,40,489,,ic_code,,Incremental loading possible but may require custom logic or composite keys
metacode_objt,INCREMENTAL_POSSIBLE,MEDIUM,40,23811,,ic_code,,Incremental loading possible but may require custom logic or composite keys
metacode_ran,INCREMENTAL_POSSIBLE,MEDIUM,40,3185,,ic_code,,Incremental loading possible but may require custom logic or composite keys
metacode_rea,INCREMENTAL_POSSIBLE,MEDIUM,40,51879,,ic_code,,Incremental loading possible but may require custom logic or composite keys
metacode_text,INCREMENTAL_POSSIBLE,MEDIUM,40,647283,,ic_code,,Incremental loading possible but may require custom logic or composite keys
metacode_val,INCREMENTAL_POSSIBLE,MEDIUM,40,817778,,ic_code,,Incremental loading possible but may require custom logic or composite keys
metacode_vrst,INCREMENTAL_POSSIBLE,MEDIUM,40,709,,ic_code,,Incremental loading possible but may require custom logic or composite keys
mostrar_pdf,INCREMENTAL_PREFERRED,HIGH,100,2543,fecha,ic_codigo,"fecha, fecha2",Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
mostrar_pdf_alb,INCREMENTAL_PREFERRED,HIGH,115,55,fecha,ic_codigo,"fecha, fecha2",Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
mostrar_pdf_con,INCREMENTAL_PREFERRED,HIGH,100,62,fecha,ic_codigo,"fecha, fecha2",Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
nam_ban,FULL_REPLACE,HIGH,5,20,,"ic_cod_ban, ic_cod_suc, ic_linea",,Full table replacement recommended. Simple and reliable approach
ped_pro,INCREMENTAL_PREFERRED,HIGH,80,64678,f_fecha_enviado,"ic_ano, ic_cod_ofi, ic_cod_ped",f_fecha_enviado,Implement incremental loading using 'f_fecha_enviado' as watermark column. Query: SELECT * FROM table WHERE f_fecha_enviado > last_run_timestamp
ped_pro_des,INCREMENTAL_CHALLENGING,MEDIUM,20,0,,"ic_cod_pro, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
ped_pro_est,INCREMENTAL_CHALLENGING,MEDIUM,30,5,,ic_cod_est,,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
ped_pro_lin,INCREMENTAL_CHALLENGING,MEDIUM,20,108173,,"ic_cod_ofi, ic_ano, ic_cod_ped, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
ped_pro_lin_his,INCREMENTAL_POSSIBLE,MEDIUM,65,4334,,"ic_codigo, ic_cod_ofi, ic_ano, ic_cod_ped, ic_linea",,Incremental loading possible but may require custom logic or composite keys
ped_pro_tip,INCREMENTAL_CHALLENGING,MEDIUM,30,6,,ic_cod_tip,,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
pie_descuentos,FULL_REPLACE,HIGH,15,1,,ic_cod_des,,Full table replacement recommended. Simple and reliable approach
pie_familias,FULL_REPLACE,HIGH,15,53,,ic_cod_fam,,Full table replacement recommended. Simple and reliable approach
pie_subfamilias,FULL_REPLACE,HIGH,5,45,,"ic_cod_fam, ic_cod_sub",,Full table replacement recommended. Simple and reliable approach
pie_subfamilias_dto,FULL_REPLACE,HIGH,5,88,,"ic_cod_ofi, ic_cod_fam, ic_cod_sub",,Full table replacement recommended. Simple and reliable approach
piezas_1,INCREMENTAL_PREFERRED,HIGH,75,378719,fecha_pmp,cc_cod_pie,fecha_pmp,Implement incremental loading using 'fecha_pmp' as watermark column. Query: SELECT * FROM table WHERE fecha_pmp > last_run_timestamp
piezas_2,INCREMENTAL_PREFERRED,HIGH,75,389345,fecha_pmp,cc_cod_pie,fecha_pmp,Implement incremental loading using 'fecha_pmp' as watermark column. Query: SELECT * FROM table WHERE fecha_pmp > last_run_timestamp
piezas_4,INCREMENTAL_PREFERRED,HIGH,75,318588,fecha_pmp,cc_cod_pie,fecha_pmp,Implement incremental loading using 'fecha_pmp' as watermark column. Query: SELECT * FROM table WHERE fecha_pmp > last_run_timestamp
piezas_com,FULL_REPLACE,HIGH,5,2688,,"cc_cod_pie, cc_pie_com",,Full table replacement recommended. Simple and reliable approach
